iter	Passed	Remaining
0	4	885
1	10	1037
2	16	1066
3	21	1066
4	27	1084
5	31	1033
6	37	1027
7	42	1017
8	48	1021
9	53	1011
10	58	1004
11	63	1001
12	69	1003
13	75	999
14	80	994
15	89	1031
16	96	1039
17	102	1040
18	109	1042
19	116	1050
20	125	1069
21	133	1082
22	143	1101
23	155	1142
24	162	1136
25	170	1139
26	178	1145
27	188	1157
28	198	1169
29	233	1322
30	249	1362
31	261	1374
32	271	1371
33	279	1363
34	286	1352
35	294	1341
36	301	1328
37	309	1321
38	316	1304
39	323	1294
40	332	1287
41	340	1282
42	350	1278
43	357	1266
44	363	1253
45	370	1241
46	377	1228
47	383	1215
48	390	1202
49	396	1188
50	402	1174
51	410	1169
52	416	1154
53	422	1142
54	428	1130
55	435	1120
56	441	1108
57	451	1104
58	459	1097
59	466	1087
60	473	1079
61	481	1071
62	490	1065
63	501	1065
64	509	1058
65	521	1057
66	532	1056
67	540	1048
68	547	1039
69	554	1030
70	561	1020
71	567	1009
72	575	1002
73	582	991
74	589	982
75	596	972
76	601	960
77	606	948
78	612	938
79	618	927
80	624	916
81	629	905
82	635	896
83	641	885
84	646	874
85	653	865
86	658	855
87	663	844
88	669	834
89	674	824
90	680	814
91	685	804
92	691	795
93	696	785
94	701	775
95	707	766
96	713	758
97	719	748
98	724	738
99	729	729
100	736	721
101	741	712
102	747	704
103	752	694
104	757	685
105	762	676
106	769	669
107	774	660
108	781	652
109	787	643
110	791	634
111	797	626
112	802	617
113	807	609
114	812	600
115	820	593
116	825	585
117	830	576
118	836	569
119	842	561
120	847	553
121	853	545
122	859	537
123	864	530
124	870	522
125	876	514
126	882	507
127	888	499
128	894	492
129	900	484
130	905	477
131	911	469
132	917	462
133	923	454
134	928	447
135	934	439
136	940	432
137	945	424
138	950	417
139	956	409
140	961	402
141	968	395
142	973	388
143	979	380
144	984	373
145	990	366
146	996	359
147	1001	351
148	1007	344
149	1048	349
150	1059	343
151	1068	337
152	1080	331
153	1086	324
154	1092	317
155	1102	311
156	1110	304
157	1115	296
158	1121	289
159	1126	281
160	1132	274
161	1137	266
162	1143	259
163	1148	252
164	1154	244
165	1160	237
166	1165	230
167	1171	223
168	1176	215
169	1182	208
170	1188	201
171	1193	194
172	1198	187
173	1204	179
174	1209	172
175	1214	165
176	1219	158
177	1225	151
178	1230	144
179	1235	137
180	1241	130
181	1247	123
182	1252	116
183	1257	109
184	1262	102
185	1268	95
186	1274	88
187	1279	81
188	1284	74
189	1290	67
190	1295	61
191	1301	54
192	1306	47
193	1312	40
194	1316	33
195	1322	26
196	1327	20
197	1333	13
198	1338	6
199	1344	0
